"ID_aux";"CODIGO_UNIV";"VIA";"CODIGO";"PREFERENCIA";"PTJE_POND";"TIPO_MATRICULA"
"id_9491594079179";15;1;1535;1;628,71;1
"id_2764927576481";36;1;3631;4;534,6;3
"id_2292922279203";11;1;1145;2;739;1
"id_4719947071936";14;1;1405;1;629,6;1
"id_2184921678486";14;1;1430;1;677,1;1
"id_9699996879975";13;1;1396;3;496,2;3
"id_1980919778053";13;1;1311;1;637,8;1
"id_4784947978482";33;1;3332;1;511,05;3
"id_8009580670930";14;1;1416;1;585;1
"id_4017940671763";19;1;1957;3;478,95;3
"id_2150921475081";32;1;3244;1;469;3
"id_4809948070992";12;1;1205;2;635,9;1
"id_3926939372613";16;1;1620;1;672,31;1
"id_2358923675871";12;1;1204;1;696,8;1
"id_8654586875403";12;1;1235;1;714,81;3
"id_4813948671309";14;1;1430;1;742,67;1
"id_9381593778187";27;1;2701;1;638,83;3
"id_3920939372076";12;1;1239;2;791,63;1
"id_9003590270363";32;1;3219;1;540;1
"id_2589925178968";33;1;3331;1;524,3;3
"id_4680946478006";19;1;1972;3;496,45;1
"id_4247942074774";23;1;2312;2;495;3
"id_9152591175282";29;1;2949;2;548;1
"id_5209952870945";22;1;2272;1;579,17;1
"id_2179921377920";19;1;1930;3;656,2;1
"id_3739937573952";36;1;3652;1;558,43;3
"id_1241912874192";15;1;1538;1;592,86;1
"id_9039590673908";11;1;1121;1;621;1
"id_9491594079175";14;1;1410;6;609,6;1
"id_2419924371963";17;1;1730;1;571,75;1
"id_2845928674566";12;1;1239;1;778,1;1
"id_2361923476164";14;1;1462;2;628,33;1
"id_2731927573116";13;1;1387;2;638,93;1
"id_7265972176551";25;1;2561;1;610,6;3
"id_4250942975093";36;1;3630;4;504,4;3
"id_2172921577235";11;1;1178;1;690,4;1
"id_2103921270314";22;1;2276;1;581,7;1
"id_2146921774681";24;1;2438;1;500,3;1
"id_2146921774676";24;1;2441;3;490,9;1
"id_2129921772982";24;1;2445;1;485,5;1
"id_2122921772232";24;1;2449;1;434,8;1
"id_2478924677891";18;1;1864;1;560,3;1
"id_5182951178265";24;1;2455;1;559,6;1
"id_2162921076272";18;1;1860;1;628,9;1
"id_2195921379554";18;1;1865;1;579,6;1
"id_2574925877439";24;1;2438;1;436,4;1
"id_2574925877406";22;1;2293;1;466,5;1
"id_2423924272393";18;1;1867;3;506,1;1
"id_2008920270872";24;1;2449;3;490,5;1
"id_1966919876673";18;1;1863;1;598;1
"id_2446924274696";24;1;2438;4;474,5;1
"id_2460924476028";27;1;2740;1;570,4;1
"id_2718927471807";11;1;1120;3;636,6;1
"id_2421924572123";27;1;2705;2;533,2;1
"id_4043940074320";25;1;2541;2;575,9;1
"id_1197911879795";25;1;2510;1;530,65;1
"id_2332923073245";25;1;2515;1;648,8;1
"id_2563925676360";26;1;2627;1;525,7;1
"id_4391943479192";26;1;2655;2;556,25;1
"id_2557925775723";26;1;2660;4;580,6;1
"id_2960929676011";14;1;1468;4;544,9;1
"id_3444934774467";19;1;1960;1;557,15;1
"id_2414924371423";14;1;1406;1;573,9;1
"id_1494914879401";14;1;1433;2;570,95;1
"id_2791927879112";23;1;2356;3;515,8;1
"id_4350943475043";26;1;2643;5;535,35;1
"id_4365943076599";14;1;1430;1;678,85;1
"id_4601946170149";26;1;2659;1;602,4;1
"id_2237922473702";14;1;1401;3;593,45;1
"id_4352943375200";34;1;3402;2;565,8;1
"id_2416924471649";34;1;3402;4;505,65;1
"id_2547925074777";35;1;3513;3;545,4;1
"id_2724927472479";30;1;3070;7;536;1
"id_1834918973440";34;1;3462;1;564;1
"id_4458944875853";13;1;1306;3;551,4;1
"id_2406924070604";14;1;1438;1;595,5;1
"id_3871938177114";29;1;2904;2;538,45;1
"id_1508915870862";13;1;1392;2;539,7;1
"id_4967949376786";36;1;3612;2;569,5;1
"id_2213922371376";30;1;3092;2;563,5;1
"id_2174921177404";13;1;1331;1;655,5;1
"id_4555945575569";13;1;1319;2;608,55;1
"id_2325923272578";13;1;1373;4;631,9;1
"id_1756917675635";13;1;1365;2;507,45;1
"id_2261922076165";29;1;2945;5;547,5;1
"id_4464944976482";13;1;1367;3;644,9;1
"id_4669946576957";15;1;1552;6;475,1;1
"id_2542925674280";13;1;1305;2;629,85;1
"id_4633946573339";36;1;3616;2;494,7;1
"id_2894928979456";13;1;1352;6;633,25;1
"id_2946929474643";37;1;3723;3;498,2;1
"id_2914929471454";13;1;1368;4;585,7;3
"id_4211942971175";13;1;1324;1;633,6;1
"id_2740927674026";13;1;1390;1;529,2;1
"id_2561925976141";13;1;1324;1;636,45;1
"id_2158921775855";13;1;1305;1;667,95;1
"id_2291922779120";30;1;3087;4;536,6;1
"id_2726927972656";37;1;3702;1;503,5;1
"id_2013920671310";12;1;1204;1;698,9;1
"id_2778927977844";17;1;1713;2;748,7;1
"id_4013940071399";17;1;1748;2;498,9;1
"id_4329943572943";11;1;1172;2;683,1;1
"id_2591925979126";16;1;1689;1;587,1;1
"id_2426924472644";11;1;1163;3;689,35;1
"id_4680946078049";22;1;2265;1;494,8;1
"id_2702927270245";12;1;1231;1;791,6;1
"id_4850948475091";18;1;1884;2;596,9;1
"id_2733927273391";18;1;1862;1;607,7;1
"id_2175921377592";11;1;1190;1;698,7;1
"id_2434924173446";16;1;1642;1;635,95;1
"id_2968929976867";16;1;1653;3;628,05;1
"id_2597925979775";11;1;1139;3;760,2;1
"id_4849948674949";14;1;1437;1;594,5;1
"id_9507595970710";12;1;1209;1;647,5;1
"id_7246972274647";14;1;1401;3;583,65;1
"id_2324923172409";15;1;1531;3;533;1
"id_2289922978946";11;1;1162;1;669,9;1
"id_2398923179860";15;1;1503;7;623,05;1
"id_1936919273692";11;1;1137;1;687,9;1
"id_2539925373929";11;1;1155;1;693,6;1
"id_7563975376317";20;1;2081;4;554,6;1
"id_2403924970372";26;1;2610;3;597,9;1
"id_2836928673642";36;1;3655;2;515,9;1
"id_2203922170306";16;1;1609;1;665,05;1
"id_2557925975723";16;1;1668;1;619;1
"id_8874588077481";12;1;1234;1;638,6;1
"id_2181921078109";12;1;1213;1;655,3;1
"id_2729927172926";15;1;1538;1;532;1
"id_2184921578495";17;1;1729;1;587,4;1
"id_2807928870776";12;1;1234;3;645,55;1
"id_7506975670613";11;1;1122;1;655,7;1
"id_2705927370575";21;1;2181;1;596,4;1
"id_2505925270532";19;1;1957;6;500,4;1
"id_7172971977249";18;1;1866;1;541,7;1
"id_2850928675042";11;1;1120;2;645,55;1
"id_5844958174480";21;1;2125;5;567,9;1
"id_5844958174486";11;1;1111;4;641,85;1
"id_9945599874523";32;1;3213;4;465,05;1
"id_2257922275723";37;1;3711;4;567,35;1
"id_2286922278666";20;1;2066;2;589,15;1
"id_2323923872390";22;1;2275;1;677,7;1
"id_2359923375912";13;1;1368;1;569,4;1
"id_2350923375059";22;1;2223;9;489,9;2
"id_2401924070137";22;1;2277;1;533;1
"id_2010920371061";22;1;2220;1;552,55;1
"id_2391923379132";22;1;2266;1;686,7;1
"id_2390923379073";16;1;1602;2;609,1;1
"id_2354923375451";14;1;1430;3;656,4;1
"id_2355923375586";22;1;2233;1;531,15;1
"id_2386923378633";22;1;2261;1;517,3;1
"id_2352923375216";22;1;2272;9;583,6;2
"id_2161921276143";22;1;2205;1;612,1;1
"id_2060920376074";17;1;1733;6;552,7;1
"id_2935929173579";22;1;2265;1;552,8;1
"id_2606926870650";22;1;2205;1;558,65;1
"id_4645946574521";24;1;2447;1;705,65;1
"id_2065920776558";22;1;2226;1;570,35;1
"id_2350923375056";22;1;2272;5;609;1
"id_2392923379253";22;1;2263;1;644,4;1
"id_2014920371435";22;1;2220;1;566,1;1
"id_2375923377590";22;1;2263;1;575,6;1
"id_2380923378061";22;1;2221;1;526,9;1
"id_0905909470595";22;1;2252;1;530,05;1
"id_2434924673447";22;1;2255;9;534,75;2
"id_2512925571270";13;1;1380;2;633,7;1
"id_2396923479671";14;1;1401;2;599,95;1
"id_2375923877505";18;1;1840;1;595,4;1
"id_2068920276807";22;1;2277;1;522,7;1
"id_2164921276433";22;1;2255;9;497,85;2
"id_8637986073784";15;1;1571;5;645,6;1
"id_0789907978977";22;1;2257;1;691,85;1
"id_4668946376812";22;1;2226;2;553,7;1
"id_2431924673148";11;1;1162;1;640,55;1
"id_2455924375586";22;1;2275;1;535,1;1
"id_3732937273283";22;1;2221;2;688,8;1
"id_2126921272646";22;1;2275;1;536;1
"id_2385923378548";22;1;2280;1;517,9;1
"id_2385923378501";22;1;2261;4;460,3;1
"id_2418924671844";22;1;2256;1;611,3;1
"id_2390923379074";22;1;2274;1;493,7;1
"id_2104921270456";22;1;2208;1;493,9;1
"id_2161921276103";22;1;2252;1;624,3;1
"id_2364923276420";22;1;2208;1;513,8;1
"id_2390923379006";22;1;2275;1;456,6;1
"id_2366923276662";22;1;2233;1;519,3;1
"id_2357923375746";22;1;2252;1;548,35;1
"id_2387923378705";22;1;2221;9;548,6;2
"id_2100921270097";22;1;2207;1;596,45;1
"id_2390923379065";22;1;2270;1;549,25;1
"id_2387923378779";22;1;2276;1;540,2;1
"id_2396923379641";22;1;2270;9;533,1;2
"id_2140921274034";22;1;2227;2;495,55;1
"id_2378923377826";22;1;2275;1;542,8;1
"id_2378923377829";22;1;2220;1;647,95;1
"id_4681946078105";22;1;2276;1;486;1
"id_2357923375751";24;1;2401;1;519;1
"id_2161921276186";22;1;2226;1;514,9;1
"id_2388923378869";22;1;2255;9;552,1;2
"id_2354923375437";22;1;2263;1;491;1
"id_2350923375005";22;1;2258;9;592,3;2
"id_2463924176313";22;1;2265;2;548,2;1
"id_2109921270971";23;1;2325;1;536,7;1
"id_2090920579031";22;1;2221;1;541;1
"id_2126921272625";22;1;2207;1;585,5;1
"id_2398923379891";22;1;2263;1;598;1
"id_4277942677736";22;1;2208;1;556,2;1
"id_2163921276340";22;1;2220;1;593,3;1
"id_2428924272875";22;1;2274;1;565,6;1
"id_2355923375555";22;1;2276;1;570,3;1
"id_2357923375780";22;1;2265;9;502,7;2
"id_2363923276386";22;1;2265;9;546,2;2
"id_2106921270655";22;1;2262;1;491,2;1
"id_2139921273919";22;1;2270;1;466,35;1
"id_2385923378540";22;1;2226;1;555,85;1
"id_2378923377817";22;1;2277;1;644,3;1
"id_2362923276214";18;1;1869;2;522,2;1
"id_2272922677280";22;1;2263;1;549,4;1
"id_2061920176110";22;1;2223;1;614,5;1
"id_2398923379858";22;1;2275;1;567,4;1
"id_2064920776492";22;1;2231;1;494,4;1
"id_2126921272653";22;1;2252;1;526;1
"id_2350923375053";14;1;1466;1;643,55;1
"id_2139921273924";22;1;2229;9;551,55;2
"id_2354923375480";18;1;1841;1;511,3;1
"id_4669946376923";22;1;2207;2;508,3;1
"id_2528925572899";22;1;2252;1;608,25;1
"id_2011920671135";18;1;1865;1;611,4;1
"id_2375923377535";22;1;2270;9;575,35;2
"id_2388923378838";22;1;2273;1;555,9;1
"id_2381923378168";22;1;2264;1;456,85;1
"id_2161921276101";22;1;2264;3;480,5;1
"id_2399923379970";22;1;2233;1;568,15;1
"id_2102921270282";22;1;2281;1;502;1
"id_2353923375300";22;1;2221;1;531,1;1
"id_2398923379897";22;1;2221;1;601,6;1
"id_2398923379887";22;1;2277;1;603,8;1
"id_4834948873471";22;1;2257;2;570,8;1
"id_2396923979664";11;1;1145;1;737,3;1
"id_2350923375076";22;1;2221;1;549,9;1
