"ID_aux";"CODIGO_UNIV";"VIA";"CODIGO";"PREFERENCIA";"PTJE_POND";"POND_ANYO_ACAD";"TIPO_MATRICULA"
"id_309743076974";"16";1;16035;1;672,1;1;1
"id_583235879324";"16";1;16038;1;665,4;1;1
"id_747537477755";"26";1;26073;1;693,35;1;1
"id_727437279749";"41";1;41016;4;500,2;1;1
"id_332833372283";"45";1;45011;2;575,8;2;1
"id_494204979427";"21";1;21012;1;549,45;1;1
"id_240602473067";"17";1;17825;1;703,15;1;1
"id_016400170643";"26";1;26034;1;541,55;1;1
"id_624506270459";"45";1;45021;1;629,5;1;1
"id_927369273730";"20";1;20007;2;609,05;1;1
"id_221562273150";"46";1;46106;5;627,2;1;3
"id_058260575822";"41";1;41048;11;592;1;2
"id_8818988471899";"37";1;37005;1;667,45;1;1
"id_8765987376510";"22";1;22055;1;575,4;1;1
"id_8109981870947";"44";1;44006;1;726;1;1
"id_8479984677977";"38";1;38003;1;620,4;1;1
"id_8433984673325";"26";1;26040;1;587,7;1;1
"id_8272982877249";"46";1;46305;7;581,5;1;1
"id_8215982271589";"16";1;16051;1;656,85;1;1
"id_8077980977798";"37";1;37014;1;666,55;1;1
"id_9710997471089";"37";1;37005;1;483,2;1;1
"id_9426994172663";"36";1;36050;4;549;1;1
"id_9231992173127";"46";1;46402;2;534;2;1
"id_9335993073534";"11";1;11084;1;675,65;1;1
"id_9062990676283";"13";1;13032;1;578,8;1;1
"id_9638996873811";"30";1;30039;1;592,6;1;1
"id_9626996172639";"16";1;16045;1;666,4;1;1
"id_5870958877059";"19";1;19011;1;741,9;1;1
"id_5882958178217";"22";1;22097;1;491,9;1;1
"id_5852958375273";"30";1;30007;1;650;1;1
"id_5813958671315";"13";1;13029;1;623,2;1;1
"id_5997959079797";"13";1;13086;1;769,2;1;1
"id_5545955574504";"41";1;41068;1;537,3;1;1
"id_5584955378484";"16";1;16045;1;626,2;1;1
"id_5771957077105";"36";1;36063;3;601,4;1;1
"id_5162951976295";"33";1;33009;1;670,1;1;1
"id_5127951272786";"46";1;46102;1;597,4;1;1
"id_5175951677539";"20";1;20024;2;615,1;1;1
"id_5445954074584";"42";1;42004;2;634;1;1
"id_5060950976064";"19";1;19075;1;667,7;2;1
"id_5090950779047";"23";1;23078;2;582,1;1;1
"id_5009950770960";"16";1;16100;5;696,3;2;1
"id_5067950276725";"41";1;41140;2;519,7;1;1
"id_5029950372927";"46";1;46109;1;558,8;1;1
"id_5052950675265";"41";1;41011;1;584,1;1;1
"id_5656956775629";"30";1;30058;1;609,5;2;1
"id_5674956177443";"25";1;25051;1;521,2;1;1
"id_5680956278081";"12";1;12015;1;627,85;2;1
"id_5623956272347";"13";1;13007;1;573,5;2;1
"id_7884978478457";"20";1;20024;1;620,4;1;1
"id_7917979571749";"48";1;48004;1;538,45;1;1
"id_7945979274532";"32";1;32003;1;521,6;1;1
"id_7964979076436";"19";1;19069;2;533,45;1;1
"id_7558975975871";"22";1;22057;2;640,8;1;1
"id_7546975574674";"14";1;14004;1;642,4;2;1
"id_7520975472039";"41";1;41125;1;610,4;1;1
"id_7562975376264";"38";1;38327;1;575,95;1;1
"id_7576975077699";"46";1;46500;1;504,1;1;1
"id_7765977876559";"13";1;13002;1;540;1;1
"id_7775977777559";"23";1;23016;1;564,4;1;1
"id_7740977774025";"24";1;24088;1;553,5;1;1
"id_7733977273320";"26";1;26034;1;619,85;1;1
"id_7108971270808";"38";1;38167;5;539,55;1;1
"id_7182971378226";"16";1;16052;1;680,2;1;1
"id_7265972876569";"17";1;17008;1;641,15;1;1
"id_7245972574570";"13";1;13059;1;626,9;1;1
"id_7200972770075";"23";1;23018;1;671,4;1;1
"id_7201972270127";"11";1;11034;2;648,1;1;1
"id_7291972079171";"16";1;16038;1;631,9;2;1
"id_7277972077746";"38";1;38003;3;605,6;2;1
"id_7234972673449";"19";1;19095;2;587,9;1;1
"id_7329973272924";"15";1;15433;1;596,6;1;1
"id_7040970974034";"25";1;25002;1;581,9;1;1
"id_7092970779297";"33";1;33060;1;695,75;1;1
"id_7021970172157";"17";1;17002;2;602,95;1;1
"id_7061970376192";"26";1;26034;1;582,7;1;1
