"ID_aux";"CODIGO_UNIV";"CODIGO";"VIA";"PREFERENCIA";"PTJE_POND";"POND_ANYO_ACAD";"TIPO_MATRICULA"
"id_896138975615";"11";11021;1;2;608,8;1;1
"id_996709977679";"20";20098;1;10;588,25;1;2
"id_996609977662";"11";11087;1;2;639,4;1;1
"id_719207177929";"52";52497;1;1;575;1;1
"id_250302574037";"53";53309;1;5;579,45;1;1
"id_218602178866";"29";29028;1;1;747,4;1;1
"id_225802272588";"11";11520;2;1;603,2;1;4
"id_681806874189";"33";33025;1;1;554,15;1;1
"id_901369073131";"40";40021;1;1;512,3;1;1
"id_737867374786";"44";44006;1;1;696,3;1;1
"id_463364679330";"34";34052;1;1;672,65;1;1
"id_380063874000";"25";25067;1;1;559,8;1;1
"id_322263270227";"12";12018;1;4;634,3;1;1
"id_666866675688";"45";45009;1;1;600,9;1;1
"id_8902989470256";"11";11095;1;1;717,75;1;1
"id_8988989278818";"11";11033;1;1;690;1;1
"id_8542985874293";"16";16080;1;1;547,2;1;1
"id_8733987273324";"20";20081;1;1;549,8;1;1
"id_8754987675450";"36";36050;1;3;604,55;1;1
"id_8123981172355";"53";53307;1;1;517,9;1;1
"id_8170981477033";"50";50929;1;3;491,6;1;1
"id_8459984975985";"25";25015;1;1;608,8;1;1
"id_8400984470011";"27";27021;1;1;502,6;1;1
"id_8240982774023";"32";32059;1;1;554,65;1;1
"id_8231982773157";"14";14074;1;1;513,1;1;1
"id_8246982474623";"19";19050;1;1;711;1;1
"id_8260982276026";"55";55073;1;1;474,2;1;1
"id_8266982076606";"55";55022;1;1;444,5;1;1
"id_8383983178369";"34";34052;1;1;629,05;1;1
"id_8054980275424";"49";49108;1;1;593,4;1;1
"id_8073980377381";"34";34052;1;1;674,35;1;3
"id_8635986373574";"33";33035;1;1;505,7;1;1
"id_8666986076649";"26";26303;1;3;702,8;1;1
"id_9535995573580";"11";11055;1;1;709,65;1;1
"id_9535995573525";"17";17816;1;1;525,8;1;1
"id_9444994274477";"24";24017;1;6;542,55;1;1
"id_9207992270763";"16";16036;1;2;660,6;1;1
"id_9387993478782";"26";26038;1;1;494,6;1;1
"id_9085990978565";"40";40074;1;2;585;1;1
"id_9045990574576";"26";26032;1;1;476,9;1;1
"id_9089990778900";"19";19090;1;1;746,7;1;1
"id_9097990279704";"51";51130;1;1;481,7;1;1
"id_9691996979195";"21";21043;1;1;619,2;1;1
"id_9688996378879";"33";33025;1;3;626,35;1;1
"id_5818958971826";"29";29001;1;1;660,9;1;1
"id_5868958976848";"52";52100;1;1;576;1;1
"id_5926959872696";"12";12070;1;1;685,6;1;1
"id_5936959873664";"33";33053;1;6;723,8;1;1
"id_5975959577520";"33";33078;1;1;555,1;1;1
"id_5913959571305";"20";20086;1;1;579,9;1;1
"id_5949959374905";"55";55006;1;1;480,1;1;1
"id_5715957871541";"40";40050;1;1;500,6;1;1
"id_5771957077105";"36";36065;1;1;602,3;1;1
"id_5744957074453";"16";16034;1;1;604,75;1;1
"id_5114951171411";"27";27040;1;1;525,6;1;1
"id_5171951477104";"26";26007;1;1;548,9;1;1
"id_5437954573791";"50";50102;1;2;541,7;1;1
"id_5420954772069";"49";49314;1;1;620,6;1;1
"id_5468954076854";"52";52100;1;1;543,3;1;1
"id_5200952470058";"52";52258;1;1;584,45;1;1
"id_5298952079868";"53";53403;1;3;655,8;1;1
"id_5299952079962";"39";39130;1;1;450,2;1;1
"id_5396953979685";"37";37014;1;1;544,8;1;1
"id_5318953371860";"21";21047;1;1;536,65;1;1
"id_5045950774558";"14";14092;1;2;590,3;1;1
"id_5605956870571";"45";45021;1;1;515,15;1;1
"id_5672956577286";"55";55043;1;2;512;1;1
"id_5606956570638";"30";30076;1;1;651,65;1;1
"id_5664956776411";"23";23018;1;1;606,2;1;1
"id_7841978874100";"23";23062;1;1;636,35;1;1
"id_7855978775592";"45";45021;1;1;594,35;1;1
"id_7834978173448";"20";20023;1;1;567,2;1;1
"id_7978979877817";"37";37040;1;1;602,8;1;1
"id_7941979574115";"33";33025;1;1;595,6;1;1
"id_7925979772532";"20";20076;2;1;557,2;1;4
"id_7912979071291";"44";44041;1;1;700,2;1;1
"id_7599975879980";"47";47201;1;1;557,6;1;1
"id_7582975578245";"24";24040;1;1;594,4;1;1
"id_7566975576654";"14";14018;1;1;526,7;1;1
"id_7555975375529";"44";44015;1;1;702;1;1
"id_7738977873830";"16";16006;1;1;663,75;1;1
"id_7768977176870";"47";47431;1;1;678,75;1;1
"id_7754977475490";"49";49211;1;1;553,55;1;1
"id_7733977473376";"52";52100;1;1;552,05;1;1
"id_7774977277429";"21";21048;1;1;507,7;1;1
"id_7795977379502";"36";36065;1;1;591,8;1;1
"id_7790977379029";"47";47431;1;1;619,25;1;1
"id_7760977076091";"41";41102;1;1;501,3;1;1
"id_7115971971510";"45";45035;1;1;580,8;1;1
"id_7111971971173";"22";22008;1;1;588,15;1;1
"id_7163971976341";"18";18063;1;7;529,3;1;1
"id_7140971574054";"29";29035;1;1;622,5;1;1
"id_7149971174928";"39";39117;1;1;546,8;1;1
"id_7116971471697";"41";41164;1;2;736,5;2;1
"id_7145971274565";"20";20081;1;1;599,2;1;1
"id_7198971379819";"41";41004;1;1;506,95;1;1
"id_7168971676820";"15";15101;1;1;602,1;1;1
"id_7482974978266";"13";13022;1;5;551,8;1;1
"id_7477974777721";"25";25051;1;1;610,2;1;1
"id_7424974372450";"41";41032;1;1;631,4;1;1
"id_7456974675667";"41";41005;1;1;602,4;1;1
"id_7282972878224";"49";49201;1;2;570,95;1;1
"id_7271972577179";"16";16019;1;1;550,6;1;1
"id_7293972179328";"49";49316;1;3;516,8;1;1
"id_7244972174454";"39";39132;1;6;614,3;1;1
"id_7287972478763";"51";51230;1;1;577,4;1;1
"id_7246972474633";"46";46104;1;1;612,55;1;8
"id_7217972271716";"40";40041;1;1;683,3;1;1
"id_7222972072200";"40";40030;1;3;553,45;1;1
"id_7246972674612";"53";53301;1;3;598,25;1;1
"id_7261972676125";"52";52090;1;1;548;1;1
"id_7382973878245";"16";16079;1;2;605,8;1;1
"id_7309973970912";"47";47004;1;1;617;1;1
"id_7389973578957";"35";35018;1;1;657;1;1
"id_7392973179292";"33";33078;1;1;716,25;1;1
"id_7306973070691";"54";54304;1;3;573,1;1;1
"id_7092970779297";"33";33078;1;1;727,2;1;1
"id_7085970178560";"21";21039;1;1;553,2;1;1
"id_7069970476918";"29";29086;1;3;506,2;1;1
"id_7063970476304";"20";20071;1;1;605,3;1;1
"id_7089970278916";"37";37092;1;4;522,4;1;1
"id_7026970272622";"23";23059;1;1;557,05;1;1
"id_7082970378226";"26";26303;1;1;713,7;1;1
"id_7072970077278";"45";45001;1;2;512,35;1;1
"id_7046970674626";"12";12022;1;1;734,95;2;1
"id_7687976578798";"50";50230;1;1;669,4;1;1
"id_7661976176152";"36";36057;1;3;489,9;1;1
"id_7683976478363";"46";46305;1;1;566,15;1;1
"id_7645976274512";"55";55108;1;1;578,7;1;1
"id_7688976078842";"41";41066;1;1;593,9;1;1
"id_7625976072598";"14";14004;1;1;586,5;1;1
"id_7683976678330";"24";24047;1;1;750,6;1;3
"id_1831918873175";"54";54305;1;1;627,9;1;1
"id_1801918870108";"45";45005;1;2;613;1;1
"id_1811918171151";"20";20086;1;1;640,4;1;1
"id_1823918472345";"13";13068;1;1;653,75;1;1
"id_1856918275686";"33";33070;1;1;532,2;1;1
"id_1877918677778";"52";52070;1;2;599,4;1;1
"id_1944919874481";"22";22077;1;1;490,65;1;1
"id_1902919870264";"55";55030;1;1;586,9;1;1
"id_1964919876489";"55";55025;1;1;473,7;1;1
"id_1993919579301";"39";39103;1;3;544,7;1;1
"id_1977919177715";"20";20007;1;1;583,2;1;1
