"ID_aux";"CODIGO_UNIV";"VIA";"CODIGO";"PREFERENCIA";"PTJE_POND";"TIPO_MATRICULA"
"id_4399443122";23;1;2326;3;593,25;1
"id_3757347803";12;1;1220;3;675,53;1
"id_7877748608";21;1;2181;1;598,14;1
"id_2321923572103";17;1;1729;2;687,9;1
"id_2121241130";24;1;2413;1;626,42;1
"id_2840928274064";33;1;3378;1;510,9;3
"id_64976841934";34;1;3465;1;557,31;1
"id_6610966771036";14;1;1473;1;593,93;1
"id_2258922975835";12;1;1214;1;716,86;1
"id_3877938977741";22;1;2220;1;642;1
"id_9199591179918";13;1;1319;2;649,2;1
"id_2782927378267";12;1;1203;3;711,9;1
"id_4426944272656";18;1;1883;1;669,57;1
"id_2318923771841";13;1;1390;2;502,85;3
"id_4645946674510";20;1;2096;2;621,8;1
"id_3571935977183";13;1;1361;4;654,55;3
"id_2149921374928";15;1;1591;1;618,27;1
"id_4943949774354";26;1;2667;1;547,25;1
"id_2128921372846";11;1;1145;1;730,7;1
"id_2636926673625";15;1;1571;2;664,6;1
"id_2808928870822";12;1;1205;1;657,1;1
"id_2059920375965";17;1;1733;1;643,7;1
"id_2279922877905";32;1;3223;4;468,6;3
"id_2784927378404";15;1;1590;1;655,8;1
"id_3818938171863";13;1;1368;2;623,65;1
"id_2518925571876";22;1;2223;1;526,8;3
"id_5993559179395";18;1;1869;1;555,29;1
"id_9762597276220";22;1;2263;1;559;1
"id_9187591778700";16;1;1652;2;657,53;1
"id_2669926676921";34;1;3418;1;623,7;1
"id_2063920776322";12;1;1207;1;702,48;1
"id_2239922573971";22;1;2252;1;644,75;3
"id_4826948772641";25;1;2550;5;555,3;3
"id_7194971679431";37;1;3718;1;525,85;1
"id_2045920374584";12;1;1239;1;766,3;1
"id_2286922478600";13;1;1358;2;609,93;1
"id_2797927279780";22;1;2262;1;463;3
"id_2370923677090";30;1;3067;3;565,15;1
"id_2236922873609";12;1;1206;1;667;3
"id_2229922872976";12;1;1246;1;682,86;1
"id_2348923874822";24;1;2438;1;430,6;3
"id_0353903175385";21;1;2147;5;601,5;1
"id_9084590378486";16;1;1652;2;646,4;1
"id_2101921670131";22;1;2256;1;641,42;1
"id_8827588072728";18;1;1855;2;545,43;1
"id_9491594079175";19;1;1942;4;637,5;1
"id_4806948670626";11;1;1122;1;669,4;1
"id_2138921273827";22;1;2264;1;486,4;1
"id_4821948872191";22;1;2220;1;545,35;1
"id_2535925573509";22;1;2207;2;505,05;1
"id_4667946376790";22;1;2223;1;547,85;1
"id_2294922379462";24;1;2446;9;434,4;2
"id_2258922375877";24;1;2438;1;462,8;1
"id_2258922375830";18;1;1870;1;544,3;1
