"ID_aux";"CODIGO_UNIV";"VIA";"CODIGO";"PREFERENCIA";"PTJE_POND";"POND_ANYO_ACAD";"TIPO_MATRICULA"
"id_11415";12;1;12004;1;719,45;1;1
"id_405545078";39;1;39103;1;567,1;1;1
"id_457642574";42;1;42006;1;545,5;1;1
"id_434745313";44;1;44007;1;633,1;1;1
"id_1243142070";13;1;13080;2;614,47;1;1
"id_114121172414";45;1;45005;1;600,65;2;1
"id_592235979227";26;1;26034;1;614,25;1;1
"id_673836776385";23;1;23059;11;609,3;2;2
"id_882308875237";12;1;12024;1;640,7;1;1
"id_590605970068";17;1;17814;1;540,6;1;1
"id_786707871678";22;1;22021;2;480,1;1;1
"id_101201076123";32;1;32014;1;559,1;1;1
"id_491504975154";45;1;45021;1;588,4;1;1
"id_350503576052";29;1;29086;1;615,2;1;1
"id_328403277847";22;1;22079;1;651,05;2;1
"id_064800670486";22;1;22095;1;592;1;1
"id_655506579556";26;1;26042;1;623,85;1;1
"id_891268977125";30;1;30074;1;596,9;1;1
"id_955669579568";19;1;19030;1;648,7;1;1
"id_574665776461";17;1;17811;1;540,5;1;1
"id_520365277034";36;1;36061;1;547,9;1;1
"id_724967271497";33;1;33025;1;603,2;1;1
"id_197561971754";15;1;15032;2;549,3;1;1
"id_158661574860";16;1;16056;1;611,2;1;1
"id_174861770486";36;1;36062;1;538,3;1;1
"id_494464974445";18;1;18074;1;631,4;1;1
"id_477964771793";39;1;39122;1;667,35;1;1
"id_220562274056";45;1;45008;3;549,9;1;1
"id_262662674265";13;1;13045;1;573,05;1;1
"id_392463974240";35;1;35016;1;664,3;1;1
"id_323363271331";14;1;14075;1;560,2;1;1
"id_329063276903";16;1;16045;2;625,55;1;1
"id_052560573252";32;1;32001;1;460,9;1;1
"id_076560771656";30;1;30058;1;605,1;1;1
"id_025060279507";26;1;26042;1;540,9;1;1
"id_068860672881";45;1;45021;1;581;2;1
"id_8855988975598";14;1;14012;3;626,45;1;1
"id_8807988770753";14;1;14035;2;581,6;1;1
"id_8844988474493";26;1;26058;11;598,8;2;2
"id_8910989971003";41;1;41081;3;604,5;1;2
"id_8941989974181";25;1;25070;1;693;1;1
"id_8988989278818";11;1;11033;2;685,65;1;1
"id_8524985472424";27;1;27037;1;579,1;1;1
"id_8598985079895";20;1;20051;1;698,4;1;1
"id_8751987975114";26;1;26030;1;560,3;1;1
"id_8182981478290";13;1;13057;1;586,05;1;1
"id_8463984476345";37;1;37026;1;502,1;1;1
"id_8410984671065";24;1;24058;2;462,6;1;1
"id_8448984674870";17;1;17030;3;516,2;1;1
"id_8208982970819";13;1;13011;1;645,15;1;1
"id_8200982770080";41;1;41058;1;642;1;1
"id_8209982370985";26;1;26007;1;518,45;1;1
"id_8286982078615";17;1;17088;1;567,9;1;1
"id_8322983572233";35;1;35023;2;610,75;1;1
"id_8330983473041";13;1;13019;1;630,35;1;1
"id_8343983374358";21;1;21002;1;651,75;2;1
"id_8040980974075";15;1;15005;1;692,9;1;1
"id_8058980475859";21;1;21047;1;593,05;1;1
"id_8038980073821";32;1;32044;1;568,3;2;1
"id_8600986770097";41;1;41041;1;576,45;1;1
"id_8624986272497";41;1;41071;1;587,2;2;1
"id_8646986074651";13;1;13029;1;621,05;1;1
"id_9930999173000";11;1;11011;1;690,1;1;1
